 TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
$2022-03-10 15:35:45,6180432,6913742,2.6997519,12.6769,1.15358,26.70635,150.7,7.08
$2022-03-10 15:35:47,6180015,6912815,2.7064953,12.4348,1.07271,26.69299,150.7,7.08
$2022-03-10 15:35:49,6179604,6911881,2.7134438,12.787,1.08949,26.70635,151,7.08
$2022-03-10 15:35:53,6178703,6909778,2.7294111,12.9525,1.07576,26.73572,150.7,7.08
$2022-03-10 15:35:55,6178286,6908796,2.7369585,13.9272,1.1368,26.73572,150.7,7.08
$2022-03-10 15:35:57,6177887,6907902,2.7435522,12.1652,1.10781,26.74907,150.7,7.08
$2022-03-10 15:35:59,6177482,6906928,2.7511787,14.0752,1.05745,26.74907,150.7,7.08
$2022-03-10 15:36:01,6177067,6905888,2.7596292,15.576,1.12154,26.74907,150.7,7.08
$2022-03-10 15:36:03,6176686,6904923,2.76752,14.5816,1.13985,26.77844,150.7,7.08
$2022-03-10 15:36:05,6176273,6903836,2.7766886,16.916,1.12154,26.74907,150.7,7.08
$2022-03-10 15:36:07,6175890,6902719,2.7867346,18.5299,1.13985,26.74907,150.7,7.08
$2022-03-10 15:36:09,6175492,6901627,2.7962475,17.5003,1.09102,26.79179,151,7.09
$2022-03-10 15:36:11,6175080,6900553,2.8052006,16.5623,1.04067,26.76509,150.7,7.08
$2022-03-10 15:36:13,6174681,6899541,2.8135204,15.357,1.09102,26.77844,150.7,7.08
$2022-03-10 15:36:15,6174306,6898617,2.8209085,13.6248,1.10933,26.80515,150.7,7.08
$2022-03-10 15:36:17,6173912,6897688,2.8281021,13.2591,1.09407,26.80515,151,7.08
$2022-03-10 15:36:19,6173531,6896787,2.8350821,12.87,1.15511,26.79179,151,7.08
$2022-03-10 15:36:21,6173140,6895916,2.8414965,11.8192,1.05898,26.82117,151,7.08
$2022-03-10 15:36:23,6172747,6895029,2.8480701,12.0524,1.09102,26.79179,150.7,7.08
$2022-03-10 15:36:25,6172368,6894146,2.8548298,12.4874,1.04372,26.82117,150.7,7.08
$2022-03-10 15:36:27,6171972,6893209,2.8621149,13.3454,1.10933,26.83452,151,7.08
$2022-03-10 15:36:29,6171609,6892258,2.8701172,14.7839,1.09407,26.84787,150.7,7.08
$2022-03-10 15:36:31,6171230,6891265,2.8784781,15.397,1.12306,26.83452,151,7.08
$2022-03-10 15:36:33,6170844,6890187,2.887949,17.4658,1.10933,26.83452,151,7.08
$2022-03-10 15:36:35,6170448,6889069,2.8978577,18.2502,1.02998,26.84787,151,7.08
$2022-03-10 15:36:37,6170077,6887992,2.907547,17.8649,1.04372,26.86122,151,7.08
